settled_on,cause,gap_paise,caused_by,original_payment
2026-07-20,old_cycle_refund,127744,RFD_0001,PAY_00150
2026-07-23,old_cycle_refund,998982,RFD_0002,PAY_00379
2026-07-25,old_cycle_refund,731113,RFD_0003,PAY_00387
2026-07-30,old_cycle_refund,125990,RFD_0004,PAY_00381
2026-07-24,old_cycle_refund,995706,RFD_0005,PAY_00203
2026-07-21,old_cycle_refund,1084993,RFD_0006,PAY_00054
2026-07-29,old_cycle_refund,1457418,RFD_0007,PAY_00298
2026-07-28,old_cycle_refund,1345305,RFD_0008,PAY_00322
2026-07-25,old_cycle_refund,1349065,RFD_0009,PAY_00197
2026-07-26,old_cycle_refund,511072,RFD_0010,PAY_00455
