refund_id,payment_id,amount_paise,created_at
RFD_0001,PAY_00150,127744,2026-07-20T12:00:00
RFD_0002,PAY_00379,998982,2026-07-23T12:00:00
RFD_0003,PAY_00387,731113,2026-07-25T12:00:00
RFD_0004,PAY_00381,125990,2026-07-30T12:00:00
RFD_0005,PAY_00203,995706,2026-07-24T12:00:00
RFD_0006,PAY_00054,1084993,2026-07-21T12:00:00
RFD_0007,PAY_00298,1457418,2026-07-29T12:00:00
RFD_0008,PAY_00322,1345305,2026-07-28T12:00:00
RFD_0009,PAY_00197,1349065,2026-07-25T12:00:00
RFD_0010,PAY_00455,511072,2026-07-26T12:00:00
RFD_0011,PAY_00232,179918,2026-07-08T12:00:00
RFD_0012,PAY_00491,618800,2026-07-12T12:00:00
RFD_0013,PAY_00350,642507,2026-07-10T12:00:00
RFD_0014,PAY_01116,34917,2026-07-26T12:00:00
RFD_0015,PAY_00498,161781,2026-07-12T12:00:00
RFD_0016,PAY_00426,984683,2026-07-11T12:00:00
RFD_0017,PAY_01240,619889,2026-07-30T12:00:00
RFD_0018,PAY_01165,163939,2026-07-28T12:00:00
RFD_0019,PAY_01178,84698,2026-07-28T12:00:00
RFD_0020,PAY_01223,978934,2026-07-29T12:00:00
RFD_0021,PAY_00257,1232718,2026-07-08T12:00:00
RFD_0022,PAY_00930,492583,2026-07-23T12:00:00
RFD_0023,PAY_01025,268822,2026-07-25T12:00:00
RFD_0024,PAY_00172,541964,2026-07-06T12:00:00
RFD_0025,PAY_00263,120439,2026-07-08T12:00:00
RFD_0026,PAY_00297,345521,2026-07-09T12:00:00
RFD_0027,PAY_00037,719473,2026-07-03T12:00:00
RFD_0028,PAY_01065,369953,2026-07-26T12:00:00
RFD_0029,PAY_00778,60075,2026-07-19T12:00:00
RFD_0030,PAY_00698,316935,2026-07-18T12:00:00
RFD_0031,PAY_00808,876046,2026-07-19T12:00:00
RFD_0032,PAY_00315,65947,2026-07-09T12:00:00
RFD_0033,PAY_00984,946612,2026-07-24T12:00:00
RFD_0034,PAY_01160,322134,2026-07-28T12:00:00
RFD_0035,PAY_00764,358637,2026-07-19T12:00:00
RFD_0036,PAY_00392,784338,2026-07-10T12:00:00
RFD_0037,PAY_00682,747079,2026-07-17T12:00:00
RFD_0038,PAY_00065,540660,2026-07-04T12:00:00
RFD_0039,PAY_00267,714381,2026-07-08T12:00:00
RFD_0040,PAY_00501,322089,2026-07-12T12:00:00
RFD_0041,PAY_00291,326914,2026-07-09T12:00:00
RFD_0042,PAY_00323,22287,2026-07-09T12:00:00
RFD_0043,PAY_00510,324327,2026-07-13T12:00:00
RFD_0044,PAY_00688,290262,2026-07-17T12:00:00
RFD_0045,PAY_00284,361577,2026-07-09T12:00:00
RFD_0046,PAY_00473,265186,2026-07-12T12:00:00
RFD_0047,PAY_00295,720956,2026-07-09T12:00:00
RFD_0048,PAY_00178,964911,2026-07-06T12:00:00
RFD_0049,PAY_00947,423209,2026-07-23T12:00:00
RFD_0050,PAY_00252,382007,2026-07-08T12:00:00
RFD_0051,PAY_00177,500515,2026-07-06T12:00:00
RFD_0052,PAY_00041,427727,2026-07-03T12:00:00
RFD_0053,PAY_01074,173667,2026-07-26T12:00:00
RFD_0054,PAY_00960,870296,2026-07-23T12:00:00
RFD_0055,PAY_00095,269748,2026-07-04T12:00:00
RFD_0056,PAY_00443,85796,2026-07-11T12:00:00
RFD_0057,PAY_00244,240586,2026-07-08T12:00:00
RFD_0058,PAY_00074,129260,2026-07-04T12:00:00
RFD_0059,PAY_01138,918493,2026-07-27T12:00:00
RFD_0060,PAY_00133,299461,2026-07-05T12:00:00
RFD_0061,PAY_01042,786326,2026-07-25T12:00:00
RFD_0062,PAY_00268,347601,2026-07-08T12:00:00
RFD_0063,PAY_00568,652950,2026-07-15T12:00:00
RFD_0064,PAY_00097,499394,2026-07-04T12:00:00
RFD_0065,PAY_00148,1233692,2026-07-05T12:00:00
RFD_0066,PAY_00676,695494,2026-07-17T12:00:00
RFD_0067,PAY_00023,457640,2026-07-03T12:00:00
