settlement_id,utr,net_amount_paise,settled_at
SETL_001,HDFC2026070301,46914396,2026-07-03T11:00:00
SETL_002,HDFC2026070401,34108523,2026-07-04T11:00:00
SETL_003,HDFC2026070501,45556099,2026-07-05T11:00:00
SETL_004,HDFC2026070601,28638411,2026-07-06T11:00:00
SETL_005,HDFC2026070701,29239763,2026-07-07T11:00:00
SETL_006,HDFC2026070801,46197618,2026-07-08T11:00:00
SETL_007,HDFC2026070901,40591424,2026-07-09T11:00:00
SETL_008,HDFC2026071001,47899382,2026-07-10T11:00:00
SETL_009,HDFC2026071101,47907242,2026-07-11T11:00:00
SETL_010,HDFC2026071201,31503067,2026-07-12T11:00:00
SETL_011,HDFC2026071301,25541074,2026-07-13T11:00:00
SETL_012,HDFC2026071401,27520893,2026-07-14T11:00:00
SETL_013,HDFC2026071501,34542958,2026-07-15T11:00:00
SETL_014,HDFC2026071601,30972369,2026-07-16T11:00:00
SETL_015,HDFC2026071701,29368795,2026-07-17T11:00:00
SETL_016,HDFC2026071801,49021065,2026-07-18T11:00:00
SETL_017,HDFC2026071901,38754251,2026-07-19T11:00:00
SETL_018,HDFC2026072001,29443856,2026-07-20T11:00:00
SETL_019,HDFC2026072101,21087283,2026-07-21T11:00:00
SETL_020,HDFC2026072201,33019737,2026-07-22T11:00:00
SETL_021,HDFC2026072301,46182628,2026-07-23T11:00:00
SETL_022,HDFC2026072401,32993943,2026-07-24T11:00:00
SETL_023,HDFC2026072501,32593246,2026-07-25T11:00:00
SETL_024,HDFC2026072601,40160327,2026-07-26T11:00:00
SETL_025,HDFC2026072701,20330918,2026-07-27T11:00:00
SETL_026,HDFC2026072801,25337558,2026-07-28T11:00:00
SETL_027,HDFC2026072901,40914771,2026-07-29T11:00:00
SETL_028,HDFC2026073001,47941001,2026-07-30T11:00:00
SETL_029,HDFC2026073101,34592712,2026-07-31T11:00:00
SETL_030,HDFC2026080101,32617894,2026-08-01T11:00:00
